date,crude_oil_wti,natural_gas
2000-08-31,-0.009022709383695336,-0.005216416300358666
2000-09-01,0.008423713948391828,0.011440546398690235
2000-09-05,0.012503829684452216,0.025524611632743943
2000-09-06,0.03345771059247447,0.02094840057011655
2000-09-07,0.010814022688970302,-0.013316287581813668
2000-09-08,-0.047234653200775654,-0.023892618099997483
2000-09-11,0.040703227002016965,0.027288151474823292
2000-09-12,-0.025975420622755364,-0.001995959158384717
2000-09-13,-0.01176488645993067,0.009940382881202957
2000-09-14,0.008836559625488473,0.02731883908106122
2000-09-15,0.05004618494046984,0.001923029814347587
2000-09-18,0.028325903167544433,0.01714330605293326
2000-09-19,-0.010357167061856647,0.01406489374756844
2000-09-20,0.02702867238791942,-0.009354551588886562
2000-09-21,-0.09945205649921686,-0.006222324455789131
2000-09-22,-0.03904397402028642,-0.02995043102704319
2000-09-25,-0.03363760955360027,0.027867659055341668
2000-09-26,-0.0022197470716742895,0.015795760798876294
2000-09-27,0.0,-0.005612776128422049
2000-09-28,-0.03883985849578412,-0.0362981703721837
2000-09-29,0.01831317937729183,0.011605535416091326
2000-10-02,0.04095163143177354,0.028811778109513284
2000-10-03,-0.0024914939557320755,-0.0007476985045918496
2000-10-04,-0.01793345835754901,-0.01090442985346102
2000-10-05,-0.027354895895361348,-0.026433259482602417
2000-10-06,0.006504112780477965,-0.029947066742357264
2000-10-09,0.032842064880548506,0.029558820759492167
2000-10-10,0.03906393506414756,-0.003111684923856345
2000-10-11,0.0,0.08419939108168267
2000-10-12,0.08525006040932047,0.0071365087390651135
2000-10-13,-0.029517231357295847,-0.016129409497705242
2000-10-16,-0.05724235542946916,-0.03306083113125761
2000-10-17,-0.004541952180979726,0.01941808928191785
2000-10-18,0.01804555657434354,-0.046868933656287436
2000-10-19,-0.018045556574343504,-0.04917411465939326
2000-10-20,0.04015404782578545,-0.004647930102816467
2000-10-23,-0.01675769642661284,0.02697740407474684
2000-10-24,-0.010730374747114189,-0.05096125872278653
2000-10-25,-0.012362583490685416,-0.03590672356851204
2000-10-26,0.023685740054190125,0.0010747156922507012
2000-10-27,-0.03160531608384967,-0.02721996999038995
2000-10-30,0.0033582875941877938,-0.011098935125882168
2000-10-31,-0.003664210102272749,0.004454346091905558
2000-11-01,0.01548072017594241,0.04050191563120153
2000-11-02,-0.02007976897621133,0.015668403920271138
2000-11-03,0.0018421116402242892,0.031026194401718388
2000-11-06,0.007943889616864368,-0.012501417326436386
2000-11-07,0.016299814484226974,0.04653875316886827
2000-11-08,-0.0032988665791453303,0.04991443497471721
2000-11-09,0.0196317973886427,0.01947210636473249
2000-11-10,0.004115214148694318,0.0027510088320916834
2000-11-13,0.009924195588248868,0.04126146145112042
2000-11-14,0.012124807208253909,0.05637699795781731
2000-11-15,0.021292501573871563,0.03589288954917767
2000-11-16,-0.015570003282792077,-0.07484786070507399
2000-11-17,0.015570003282792181,0.05542979282825783
2000-11-20,-0.010731457268784128,0.019418067876816054
2000-11-21,-0.001989476060264498,0.02687910142636102
2000-11-22,0.00708720157648359,0.025719488651508055
2000-11-27,-0.0005651443222098287,-0.030410620485277123
2000-11-28,-0.03246015421320757,-0.049809481942447054
2000-11-29,0.01103382454973538,0.01795961034097797
2000-11-30,-0.024259609341169955,0.06271649004972417
2000-12-01,-0.05316362035478399,0.014334499118422947
2000-12-04,-0.023679086390970834,0.10984477392864851
2000-12-05,-0.05753435513753193,-0.005383588073635473
2000-12-06,0.010101134584653445,0.13133600008107174
2000-12-07,-0.016551628083310746,-0.00593475836070488
2000-12-08,-0.029729137260250674,0.021784838356679253
2000-12-11,0.03278984872925379,0.09281859789453298
2000-12-12,0.008116370759604164,-0.13870096567755863
2000-12-13,-0.04090621948885786,-0.0759858962659189
2000-12-14,-0.021277412120035057,-0.02491300466067937
2000-12-15,0.033483331022059616,0.12499643035294458
2000-12-18,0.027352106401346925,0.015005989428796093
2000-12-19,-0.0290867519270297,0.06525654571398373
2000-12-20,-0.11505236279579227,0.027951058230734526
2000-12-21,0.014694741056718016,0.051026240102169225
2000-12-22,0.004978033226710199,-0.027898242129940017
2000-12-26,0.01779336415920964,0.02280915335731939
2000-12-27,-0.007532949148892675,0.02419470532481667
2000-12-28,-0.022945571437412386,-0.08054919043434806
2000-12-29,0.036091243337433104,0.05380014681665681
2001-01-02,0.014815142302275281,-0.15589124696884302
2001-01-03,0.02720022554649346,-0.017366578324205264
2001-01-04,0.00890477810096882,0.09065433578287475
2001-01-05,-0.007117494823454155,0.027398974188114347
2001-01-08,-0.02348796735950895,0.04750231432161505
2001-01-09,0.013437606735245758,0.010256539293318255
2001-01-10,0.06223611379483346,-0.06535516726331952
2001-01-11,0.0,-0.05255544263186087
2001-01-12,0.018472372246441923,-0.02770517253630443
2001-01-16,0.009933894482310045,-0.04453229783282021
2001-01-17,-0.023334417496549898,-0.15940942696312893
2001-01-18,0.02662390663341221,0.03232751928327767
2001-01-19,0.052769963389412,0.0470803773412062
2001-01-22,-0.003120079801074087,-0.003079635645095884
2001-01-23,-0.07897557925579328,-0.07098719029031103
2001-01-24,-0.017741866508989387,0.024741740749811492
2001-01-25,0.010614767499911665,0.020848579571118218
2001-01-26,0.014203825778277225,0.0013746021065826476
2001-01-29,-0.024474410548753166,-0.09503553836665345
2001-01-30,0.0,-0.08229848571471689
2001-01-31,-0.012465490415548439,-0.0761413049095112
2001-02-01,0.03761121856053212,0.12464244322924636
2001-02-02,0.04751100827304705,0.05220692901147374
2001-02-05,-0.024292692569044587,-0.166986707560068
2001-02-06,-0.004930153538839791,0.010113440830054807
2001-02-07,0.027621589194097677,0.08094979620006237
2001-02-08,0.011472359787071592,-0.012882613465706587
2001-02-09,-0.016291695247527098,0.0064620518056136165
2001-02-12,-0.01623412316403273,-0.06658034107301332
2001-02-13,-0.006897681694484926,0.0355066951371726
2001-02-14,-0.019637846958012108,-0.08852259144820107
2001-02-15,-0.03245377134069213,0.015308639560454215
2001-02-16,0.012422541256729938,-0.004837410007167626
2001-02-20,-0.020090732075442375,-0.05500553532344841
2001-02-21,-0.0010502604531382922,-0.023033625740421095
2001-02-22,0.009412670603252427,-0.0019436797020841571
2001-02-23,0.0062262500041259635,0.0019436797020841912
2001-02-26,-0.019499206273036845,-0.0176302612026095
2001-02-27,-0.011315526926258047,0.04445176666807703
2001-02-28,-0.02520841987059127,-0.008543018629849923
2001-03-01,0.008353037255382395,-0.011505389383487895
2001-03-02,0.006848126775135441,0.017208866795541837
2001-03-05,0.026932890216803285,0.011497604737973973
2001-03-06,-0.01054495347370882,-0.004884477701371517
2001-03-07,0.02270845268249792,0.007504718604360348
2001-03-08,-0.016017089896641842,-0.011278304423166869
2001-03-09,-0.02451714722333065,-0.04050699208716279
2001-03-12,0.0071685169224781475,0.017561456705489805
2001-03-13,-0.019838314425877673,-0.03143674249561748
2001-03-14,-0.03711000860042651,-0.018127414770653445
2001-03-15,0.007532949148892549,0.0030441152795043416
2001-03-16,0.0018744576829222825,0.019067364532428195
2001-03-19,-0.019667821842132102,0.006934123174826082
2001-03-20,-0.010752818161651594,0.041571988456724766
2001-03-21,0.03415890507198943,-0.044537856398051565
2001-03-22,-0.010502676470185353,0.03215083665561061
2001-03-23,0.028987491665678242,0.010491241221855411
2001-03-26,0.005843692755012348,0.009442976686715083
2001-03-27,0.010505473193017699,0.05574761246975514
2001-03-28,-0.055569851154810765,-0.03897188343687979
2001-03-29,0.0038023004267679107,-0.025270367212340012
2001-03-30,0.0018957062382588623,-0.04755867161821545
2001-04-02,-0.031162339568168437,0.014408608403010875
2001-04-03,0.023176022776790862,0.002348720430347468
2001-04-04,0.0348938151060967,0.013013758401551275
2001-04-05,0.005148940647260011,0.04674798927437218
2001-04-06,-0.007363831658050821,-0.0077648416602164655
2001-04-09,0.010294233870338012,0.016383288312093267
2001-04-10,0.040851233593686205,0.014860689732005432
2001-04-11,-0.01058955317056144,-0.03272984327097373
2001-04-12,0.0024809402923990464,0.00018584286016116774
2001-04-16,0.01893467883181971,0.024778684280902658
2001-04-17,-0.019288731904109225,-0.049805843322850485
2001-04-18,-0.010322177622471097,-0.01923883547192544
2001-04-19,-0.004302654101318026,-0.007408813447850537
